"","runoff","soil_moisture","ETA"
"1989-03-30",0.119832870289948,163.813907415218,2.14092397901712
"1989-03-31",0.122070779538222,162.321689287913,1.49221812730525
"1989-04-01",0.122282781331116,160.51810406089,1.80358522702312
"1989-04-02",0.121658765577273,158.088829896692,2.79865083637338
"1989-04-03",0.120530650098251,197.440281100677,2.47281378086342
"1989-04-04",0.120613446466213,216.942519070595,1.3313573055705
"1989-04-05",0.129142780914107,227.220296463359,1.39565866677467
"1989-04-06",0.185066240841919,234.475794338203,1.37103175488656
"1989-04-07",0.40484661055772,237.493717470926,1.27617761063535
"1989-04-08",0.683482844290544,236.746763180968,1.43108616912457
"1989-04-09",0.483771956387235,235.583424792622,1.31950345369013
"1989-04-10",0.310687874115216,232.130296886566,3.45312790605562
"1989-04-11",0.292393578364528,230.187541015498,2.16838126694093
